Temperature,Humidity,Light,Voltage,Controller ID,Output
31.7,47,227.92,2.52,3,1
31.7,47,227.92,2.52,1,1
31.7,47,235.78,2.63,1,1
31.7,47,226.45,2.6,1,1
31.7,47,214.94,2.68,5,1
31.7,47,268.29,2.66,4,1
31.7,47,247.02,2.56,5,1
31.6,47,264.92,2.54,4,1
31.7,47,246.68,2.69,4,1
31.7,47,263.45,2.7,2,1
31.7,47,219.88,2.54,3,1
31.7,47,217.66,2.61,3,1
31.7,47,234.23,2.53,1,1
31.7,47,244.38,2.61,4,1
31.7,47,226.45,2.54,5,1
31.7,47,241.14,2.61,3,1
31.6,47,252.09,2.52,4,1
31.6,47,246.68,2.58,2,1
31.6,47,222.13,2.6,3,1
31.6,47,227.03,2.56,3,1
31.6,48,218.22,2.58,3,1
31.6,48,219.33,2.65,4,1
31.6,48,231.49,2.57,2,1
31.6,48,254.85,2.57,1,1
31.6,48,224.71,2.58,5,1
31.6,48,237.33,2.61,2,1
31.6,48,249.36,2.55,5,1
31.6,48,260.9,2.62,4,1
31.6,48,270.19,2.61,1,1
31.6,48,257.32,2.56,5,1
31.6,48,242.1,2.69,4,1
31.6,48,226.16,2.66,3,1
31.7,48,257.32,2.57,2,1
31.7,48,236.09,2.68,3,1
31.7,48,240.5,2.71,4,1
31.7,48,263.08,2.65,3,1
31.7,48,224.71,2.62,2,1
31.7,48,262.35,2.61,5,1
31.7,48,248.35,2.66,4,1
31.7,48,237.02,2.66,4,1
31.7,48,210.68,2.64,2,1
31.7,48,255.91,2.66,1,1
31.7,48,215.21,2.69,4,1
31.8,47,217.66,2.63,2,1
31.8,47,257.32,2.62,4,1
31.7,47,246.35,2.66,1,1
31.7,47,267.54,2.74,2,1
31.7,47,246.35,2.54,4,1
31.7,47,228.51,2.61,3,1
31.7,47,245.69,2.65,4,1
31.7,54.83475897,231.49,2.63,1,1
30.10112545,54.83475897,213.06,2.63,3,1
30.10112545,47,227.62,2.53,1,1
31.7,47,213.06,2.67,5,1
31.7,47,258.38,2.69,2,1
31.7,47,260.9,2.53,4,1
31.8,47,242.75,2.54,2,1
31.8,54.83475897,234.54,2.71,1,1
30.10112545,47,235.16,2.55,3,1
31.7,48,243.07,2.56,1,1
31.7,48,246.35,2.67,2,1
31.7,48,258.03,2.59,5,1
31.7,48,232.1,2.58,2,1
31.7,48,231.49,2.61,5,1
31.7,48,269.81,2.56,5,1
31.7,48,209.89,2.71,2,1
31.7,48,262.71,2.58,5,1
31.6,48,237.65,2.64,3,1
31.7,48,245.36,2.57,4,1
31.6,48,220.72,2.56,4,1
31.6,49,225.87,2.68,5,1
31.7,49,257.67,2.62,5,1
31.7,49,235.78,2.57,3,1
31.7,49,242.1,2.56,5,1
31.7,49,251.4,2.64,2,1
31.6,49,237.96,2.55,4,1
31.7,54.83475897,250.72,2.58,2,1
30.10112545,49,254.85,2.67,2,1
31.7,49,261.99,2.62,4,1
31.7,49,250.04,2.54,1,1
31.7,49,223.56,2.58,4,1
31.6,49,231.49,2.65,3,1
31.7,49,226.74,2.66,1,1
31.7,49,253.46,2.57,2,1
31.7,49,252.43,2.66,1,1
31.7,49,245.36,2.63,1,1
31.7,49,235.78,2.65,1,1
31.7,49,282.45,2.57,4,1
31.8,49,257.32,2.61,4,1
31.8,49,281.63,2.69,5,1
31.8,49,220.72,2.68,3,1
31.8,49,274.84,2.67,4,1
31.8,49,270.19,2.56,5,1
31.8,49,260.53,2.61,1,1
31.8,49,244.38,2.59,4,1
31.8,49,217.12,2.5,2,1
31.7,49,274.05,2.7,2,1
31.8,49,249.7,2.52,4,1
31.8,49,226.45,2.66,5,1
31.8,49,254.16,2.68,4,1
31.7,49,256.96,2.64,3,1
31.7,49,222.42,2.56,5,1
31.7,49,235.16,2.72,2,1
31.7,49,219.6,2.56,3,1
31.7,49,236.71,2.64,4,1
31.7,49,276.02,2.55,5,1
31.7,49,249.36,2.57,5,1
31.7,49,217.66,2.65,2,1
31.7,49,235.16,2.54,5,1
31.7,49,238.91,2.55,4,1
31.8,49,242.1,2.65,5,1
31.8,49,250.72,2.56,1,1
31.8,49,239.22,2.62,2,1
31.8,49,212.79,2.7,4,1
31.8,49,245.69,2.6,2,1
31.8,49,218.77,2.61,4,1
31.8,49,227.92,2.67,5,1
31.8,48,282.04,2.7,4,1
31.8,48,234.85,2.61,1,1
31.8,48,245.03,2.64,2,1
31.8,48,237.02,2.61,5,1
31.8,48,244.7,2.64,3,1
31.8,48,223.85,2.61,2,1
31.8,48,268.29,2.57,1,1
31.8,48,237.02,2.59,3,1
31.8,48,282.04,2.68,4,1
31.8,48,251.4,2.66,3,1
31.8,48,224.42,2.59,2,1
31.8,48,256.26,2.62,4,1
31.8,48,272.5,2.58,2,1
31.8,48,280.82,2.53,5,1
31.8,48,236.09,2.55,5,1
31.8,48,243.4,2.68,2,1
31.9,48,258.03,2.66,4,1
31.9,48,259.81,2.56,1,1
31.9,48,237.96,2.52,1,1
31.9,48,252.09,2.61,1,1
31.8,48,252.77,2.67,5,1
31.6,48,286.59,2.65,5,1
31.9,48,217.39,2.63,4,1
31.9,48,261.99,2.65,3,1
31.8,48,244.7,2.61,1,1
31.8,48,269.05,2.65,1,1
31.8,48,224.13,2.57,1,1
31.8,48,252.09,2.52,5,1
31.8,48,252.43,2.54,1,1
31.8,48,263.08,2.61,3,1
31.8,48,238.28,2.58,2,1
31.8,48,250.72,2.55,1,1
31.8,48,245.36,2.64,2,1
31.9,48,251.74,2.68,1,1
31.9,48,269.05,2.64,2,1
31.8,48,246.68,2.57,5,1
31.9,48,236.4,2.68,4,1
31.9,48,251.74,2.57,5,1
31.9,48,254.16,2.68,5,1
31.9,48,280.82,2.66,5,1
31.9,48,256.96,2.55,1,1
31.9,48,239.54,2.63,3,1
31.9,48,245.69,2.65,1,1
31.9,48,251.74,2.66,4,1
31.9,48,263.82,2.59,3,1
31.9,54.83475897,250.72,2.65,1,1
30.10112545,48,269.05,2.51,2,1
31.9,48,232.71,2.64,4,1
31.9,48,273.27,2.55,2,1
31.9,48,242.1,2.63,3,1
31.9,48,235.47,2.57,3,1
31.9,48,262.71,2.59,2,1
31.9,48,234.85,2.72,3,1
31.9,48,227.92,2.7,4,1
31.9,48,223.27,2.64,1,1
31.9,48,246.35,2.58,3,1
31.3,48,263.45,2.63,5,1
31.8,48,261.99,2.6,5,1
31.9,48,263.45,2.61,3,1
31.9,48,280.82,2.66,3,1
31.9,48,254.51,2.65,5,1
31.9,48,257.32,2.57,2,1
31.9,48,237.96,2.65,1,1
31.9,48,244.05,2.63,2,1
31.9,49,270.19,2.6,4,1
32,49,238.28,2.61,4,1
31.9,49,273.27,2.67,5,1
31.9,49,242.75,2.58,4,1
31.9,49,258.03,2.58,4,1
32,49,231.8,2.71,2,1
31.9,49,243.4,2.64,3,1
31.9,49,225.58,2.55,2,1
31.9,49,262.71,2.67,3,1
32,49,260.9,2.57,4,1
31.9,49,260.9,2.53,1,1
31.9,49,272.5,2.66,4,1
31.9,49,239.22,2.61,3,1
31.9,49,233.93,2.57,2,1
31.9,49,274.05,2.6,4,1
31.9,49,268.67,2.65,2,1
32,49,264.18,2.61,4,1
32,49,261.26,2.65,2,1
31.8,49,277.6,2.66,4,1
32,49,242.1,2.58,5,1
32,49,260.53,2.55,4,1
32,49,279.21,2.58,2,1
32,49,244.7,2.65,1,1
31.9,49,257.67,2.69,2,1
32,54.83475897,246.02,2.57,2,1
30.10112545,49,270.19,2.63,3,1
32,48,253.46,2.56,4,1
32,49,268.29,2.6,5,1
32,48,259.81,2.61,3,1
32,48,245.69,2.66,2,1
32,48,258.03,2.57,4,1
32,48,257.32,2.59,3,1
32,48,243.4,2.68,4,1
32,48,240.18,2.68,2,1
32,48,262.71,2.62,4,1
32,48,257.32,2.63,3,1
32,54.83475897,290.4,2.65,2,1
30.10112545,48,235.78,2.64,3,1
32.1,48,234.23,2.64,2,1
32.1,54.83475897,267.16,2.57,3,1
30.10112545,48,242.1,2.58,5,1
32,48,274.84,2.58,5,1
32,54.83475897,278.8,2.56,2,1
30.10112545,48,275.62,2.58,4,1
32,48,266.79,2.65,3,1
32.1,54.83475897,264.92,2.7,2,1
30.10112545,48,267.91,2.55,5,1
32,48,221.29,2.61,3,1
32,48,250.04,2.67,3,1
32,48,243.07,2.58,5,1
32,48,248.69,2.57,2,1
32.1,54.83475897,235.78,2.58,1,1
30.10112545,48,292.12,2.54,2,1
32.1,48,236.09,2.57,2,1
32.1,54.83475897,247.35,2.66,5,1
30.10112545,48,290.83,2.59,5,1
32.1,48,239.22,2.59,2,1
32.1,48,232.4,2.59,3,1
32.1,48,241.14,2.65,5,1
32.1,48,240.18,2.57,4,1
32.2,54.83475897,247.02,2.72,4,1
30.10112545,48,251.74,2.67,5,1
32.1,48,243.4,2.53,2,1
32.2,48,251.74,2.71,1,1
32.2,48,257.67,2.58,5,1
32.2,48,254.85,2.63,3,1
32.2,48,256.61,2.68,4,1
32.2,48,239.86,2.56,4,1
32.2,48,239.86,2.54,5,1
32.2,48,237.96,2.7,1,1
32.2,48,260.9,2.67,5,1
32.2,48,249.7,2.64,1,1
32.2,48,269.05,2.71,5,1
32.2,48,256.26,2.59,3,1
32.3,48,222.7,2.72,2,1
32.2,48,256.96,2.67,4,1
32.3,48,269.05,2.66,1,1
32.3,48,301.87,2.51,3,1
32.3,48,231.49,2.7,5,1
32.3,48,260.53,2.61,1,1
32.3,48,250.04,2.63,1,1
32.3,48,263.08,2.58,1,1
32.3,48,265.67,2.56,1,1
32.3,48,281.23,2.69,5,1
32.3,48,275.23,2.7,4,1
32.3,48,276.81,2.61,4,1
32.3,48,217.12,2.54,4,1
32.3,48,257.32,2.67,1,1
32.3,48,252.77,2.55,2,1
32.3,48,242.1,2.65,4,1
32.3,48,270.96,2.58,2,1
32.3,48,268.67,2.56,1,1
32.3,48,237.02,2.55,2,1
32.3,48,278.8,2.56,2,1
32.3,48,237.65,2.7,1,1
32.3,48,275.62,2.57,4,1
32.3,48,266.41,2.61,4,1
32.3,48,269.81,2.59,4,1
32.3,48,256.61,2.56,4,1
32.3,48,239.22,2.71,1,1
32.3,48,246.35,2.61,1,1
32.3,48,237.33,2.6,2,1
32.3,48,232.71,2.56,2,1
32.3,48,226.45,2.66,4,1
32.3,48,267.91,2.57,2,1
32.3,48,233.31,2.6,5,1
32.3,48,277.6,2.57,3,1
32.3,48,244.7,2.66,5,1
32.3,48,227.33,2.68,2,1
32.3,48,250.38,2.54,5,1
32.3,48,253.46,2.53,1,1
32.3,48,234.85,2.6,2,1
32.3,48,257.32,2.64,1,1
32.3,48,270.19,2.6,5,1
32.3,54.83475897,258.03,2.58,2,1
30.10112545,48,275.62,2.66,3,1
32.3,47,260.53,2.55,1,1
32.3,47,252.77,2.7,3,1
32.3,47,292.12,2.62,3,1
32.3,47,244.05,2.59,2,1
32.3,47,241.14,2.64,2,1
32.4,47,264.18,2.63,5,1
32.4,47,214.4,2.56,5,1
32.4,47,248.69,2.55,3,1
32.4,54.83475897,259.81,2.65,4,1
30.10112545,47,239.54,2.61,5,1
32.4,47,253.46,2.65,3,1
32.4,47,228.21,2.62,3,1
